keywords,paragraph
nairobi work programme|vulnerability and adaptation|nairobi work programme|vulnerable|adaptation work programme|buenos aires programme of work|adaptation and response measures|redd|forest degradation|forest|technology transfer|technology,"SBI AND SBSTA:   The SBI and SBSTA are scheduled to work from 8-12 December. The SBI will take up such issues as capacity building, national communications and the review of progress on the implementation of the Buenos Aires programme of <span class=""highlight"">work on adaptation</span> and response measures (decision 1/CP.10). The SBSTA will consider, _inter alia_, <span class=""highlight"">reducing emissions from deforestation and forest degradation in developing countries (REDD), the Nairobi work programme on impacts, vulnerability and adaptation</span>, and various methodological issues. Both bodies will consider <span class=""highlight"">technology</span> transfer.  ![](http://www.iisd.ca/dailies_images/images/generic/fondoizq.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq3.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoabajo.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq4.gif)         ^ up to top  ![](http://www.iisd.ca/dailies_images/images/generic/esq1.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoarriba.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq2.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoder.gif)  [![Back to IISD coverage](http://www.iisd.ca/dailies_images/images/generic/bac k_to_iisd.jpg)](http://www.iisd.ca/climate/cop15/)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoizq.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq3.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoabajo.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq4.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq1.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoarriba.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/esq2.gif)  ![](http://www.iisd.ca/dailies_images/images/generic/fondoder.gif)"
ipcc third/fourth assessment report|intergovernmental panel on climate change,"Rajendra Pachauri, Chair of the <span class=""highlight"">Intergovernmental Panel on Climate Change</span> (<span class=""highlight"">IPCC</span>), highlighted the consequences of failure to implement climate change mitigation policies on the basis of the <span class=""highlight"">Fourth Assessment Report</span> (<span class=""highlight"">AR4</span>). He emphasized that for temperature increase to be limited to between 2.0-2.4Â°C, global <span class=""highlight"">emissions</span> must peak no later than 2015. Pointing to a recent incident involving the theft of e-mails from scientists at the University of East Anglia in the UK, Pachauri highlighted the <span class=""highlight"">IPCC</span>'s record of transparent and objective assessment."
redd|cooperative action|shared vision|forest degradation|forest,"UNFCCC Executive Secretary Yvo de Boer said Copenhagen should result in: an agreement on implementation of mitigation, adaptation, finance, <span class=""highlight"">technology</span>, <span class=""highlight"">reducing emissions from deforestation and forest degradation in developing countries (REDD) and capacity building actions; ambitious emission reductions</span> commitments and start-up finance of around US$10 billion per year; and a <span class=""highlight"">shared vision</span> on long-term <span class=""highlight"">cooperative action</span>. He emphasized that Copenhagen would be successful only if it delivered significant and immediate action beginning the day the conference concludes."
food|health,"Algeria, for the AFRICAN GROUP, expressed serious concerns with the <span class=""highlight"">lack of progress</span> in this process and reminded parties that Africans are already impacted by climate change, through increased <span class=""highlight"">droughts</span>, <span class=""highlight"">health</span> hazards, <span class=""highlight"">food</span> scarcity and migration. He firmly opposed renegotiating the UNFCCC and requested a transparent and equitable high-level segment, stressing that the process must not be selective in the nature of its consultations."
bali action plan,"SAUDI ARABIA supported the adoption of a just and comprehensive agreement, which should comply with the principles and the text of the Convention and <span class=""highlight"">Bali Action Plan</span> (<span class=""highlight"">BAP</span>). He said his delegation would not accept accelerating progress on some issues and postponing action on others. He also proposed an independent and international investigation of a recent scientific scandal known as climate gate, and noted <span class=""highlight"">economic losses</span> from climate change for many countries, including those that rely on the export of <span class=""highlight"">fossil fuels</span>."
importance of adaptation|funding|ldc fund|ldcs|adaptation needs,"Lesotho, for the <span class=""highlight"">LEAST DEVELOPED COUNTRIES</span> (<span class=""highlight"">LDCs</span>), urged countries not to betray the expectations of the anxious global population, and supported <span class=""highlight"">bottom-up</span> and inclusive procedures and the continuation of a two-track process. He highlighted the <span class=""highlight"">importance of adaptation</span>, financing, <span class=""highlight"">technology</span> and capacity building support, and underlined the need for contributions to the <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span> to finance countries' most immediate <span class=""highlight"">adaptation needs</span>."
small island|vulnerable|ldcs|reducing emissions|emission|gas|greenhouse gas concentrations,"Grenada, speaking for the ALLIANCE OF <span class=""highlight"">SMALL ISLAND</span> STATES (AOSIS), urged an ambitious outcome that addresses the true scale of the problem, responds with the urgency needed; and guarantees the long-term survival of <span class=""highlight"">small island</span> developing States (<span class=""highlight"">SIDS</span>), <span class=""highlight"">LDCs</span>, and other <span class=""highlight"">vulnerable</span> groups. She said a political outcome was inadequate, and AOSIS would have to consider our options if a <span class=""highlight"">legally-binding outcome</span> is not achieved. She said a final agreement must address <span class=""highlight"">emission</span> reductions by all major emitting countries and should limit temperature increases to below 1.5Â°C and atmospheric <span class=""highlight"">greenhouse gas concentrations</span> to 350ppm. She indicated that agreement should also provide for stable, predictable and adequate financing for adaptation, capacity building, <span class=""highlight"">technology</span> and mitigation."
flexibility|binding commitments|flexibility mechanisms,"Mexico, for the ENVIRONMENTAL INTEGRITY GROUP, supported a <span class=""highlight"">legally-binding outcome</span> agreed by political leaders in Copenhagen. He said negotiations under the Protocol must include quantified <span class=""highlight"">emission</span> reduction targets for Annex I parties and the <span class=""highlight"">flexibility</span> mechanisms, and urged the conclusion of negotiations on both tracks ahead of the high-level segment."
small island|most vulnerable|vulnerable countries|vulnerable|mitigation and adaptation|mrv|ldcs,"Australia, for the UMBRELLA GROUP, supported a limit of 2Â°C on global temperature rise and a 50% reduction in global <span class=""highlight"">emissions</span> by 2050. She said all Umbrella Group members are prepared to propose individual reduction targets that will substantially reduce their <span class=""highlight"">emissions</span> by 2020, with their actions being subjected to robust monitoring, <span class=""highlight"">reporting and verification</span> (<span class=""highlight"">MRV</span>). She supported quick, substantial and high-impact financing to assist the <span class=""highlight"">most vulnerable developing countries, particularly LDCs and SIDS. She also noted the emerging consensus that a core element of the Copenhagen accord should be to mobilize US$10 billion a year by 2012 to support adaptation and mitigation in developing countries. She suggested that the aim in Copenhagen was to forge a political vision that will guide global actions and lead to a new legally-binding treaty - the Copenhagen accord - as soon as possible.</span>"
building blocks|redd|fast-start financing|funding,"Sweden, for the EU, called for a Copenhagen agreement to be inclusive, encompass non-Annex I parties, cover all <span class=""highlight"">building blocks</span> and be based on the principles of the Convention. He said the agreement should be translated into a universal, <span class=""highlight"">legally-binding agreement</span> in Copenhagen or by a specified time in 2010. He welcomed recent clarification on levels of ambition and urged parties to increase their pledges if possible. The EU highlighted the need for <span class=""highlight"">funding</span> in the order of â‚¬100 billion annually by 2020 to support adaptation, mitigation, <span class=""highlight"">REDD</span>, <span class=""highlight"">technology</span> and capacity building. He noted the need for <span class=""highlight"">fast-start financing</span> of â‚¬5-7 billion to enable immediate action."
